dataset,model,W_avg,p_avg,H_avg,mean_abs_avg,std_avg,W_holdout,W_pooled,n
GEO,mlp,0.8982615639401396,0.002072100573690799,1.0,2.4715345695205087,17.442754469120715,0.9072322866471166,0.9251417675435388,276
GEO,gbr_huber,0.8193543697687786,0.00023178538556289677,1.0,1.3720005922796885,15.12968777735092,0.8971234470661605,0.8651110054841165,276
GEO,per_channel_best,0.8127728449217271,0.0002033285158975526,1.0,1.3147639493618601,15.062082457318198,0.8754469643471615,0.8601043005139789,276
GEO,kalman_llt,0.811170444874456,0.0003652590693058554,1.0,31.281495941618854,30.578227380256042,0.8952048257104014,0.91313259194045,276
GEO,stack_harmonic+gp,0.7998212204864049,4.915608665027943e-05,1.0,1.3170505132163282,15.111435579263771,0.8825132065531195,0.8424729385045415,276
GEO,stack_harmonic+harmonic,0.797779011000748,3.40402255619189e-05,1.0,1.0845788687697464,15.069196837460158,0.8944109201962599,0.8474729215526569,276
GEO,harmonic_robust_p2h3,0.7972847714823921,3.426977167804442e-05,1.0,1.2006379837703642,15.074189782888112,0.8965717275232374,0.8468818158501868,276
GEO,gp_matern_periodic,0.7906883407964098,3.057384627328178e-05,1.0,0.7446416289339318,15.093776287920159,0.876306951923441,0.8291379613351649,276
GEO,harmonic_robust_p2h2,0.7876971068801992,2.006253499482108e-05,1.0,1.172697660595933,15.0318455918588,0.8819880114384816,0.8335713670504595,276
GEO,harmonic_ols_p1h1,0.7860606208080416,1.4832760137828263e-05,1.0,1.1587560498759344,15.07339331317798,0.8759528900545012,0.8308470753131582,276
GEO,harmonic_robust_p1h1,0.7848287498929853,1.47246129257426e-05,1.0,1.1072189886186155,15.061001407935331,0.8722640841591859,0.8310046467360913,276
GEO,median,0.7708233005478655,7.293393779790468e-06,1.0,1.0298494199945651,15.020494587567324,0.8757698519838133,0.8156175115611128,276
GEO,mean,0.7708233005478654,7.293393779790423e-06,1.0,0.9231596468642838,15.020494587567324,0.8757698519838133,0.8156175115611126,276
GEO,zero,0.7708233005478653,7.293393779790363e-06,1.0,1.103758534119565,15.020494587567324,0.8757698519838133,0.8156175115611128,276
GEO,persistence,0.7708233005478653,7.29339377979037e-06,1.0,1.0415010015615942,15.020494587567324,0.8757698519838133,0.8156175115611128,276
MEO1,per_channel_best,0.9580759097461775,0.7838254941622089,0.0,0.21646124896966956,0.27760525043879813,0.8782231834949745,0.9488140965799366,24
MEO1,harmonic_robust_p1h1,0.9439159095512044,0.6919383479720841,0.0,0.5216552886658115,0.22414167860429546,0.8519209518483466,0.9486318663157823,24
MEO1,harmonic_ols_p1h1,0.9438385801963,0.6905632125062101,0.0,0.4406402677076559,0.252083393757802,0.8568100380166078,0.9385652644556631,24
MEO1,harmonic_robust_p2h2,0.9428511673288713,0.6909377233209719,0.0,0.09688992691820728,0.2571394976310315,0.8921668641794636,0.9411487642461419,24
MEO1,gbr_huber,0.9288874041626421,0.637314455217111,0.0,0.19092757687360826,0.3620271758764628,0.8827360515765097,0.9316632585730356,24
MEO1,stack_harmonic+gp,0.9239934772808944,0.5657831126370049,0.0,0.0893671182426201,0.26716930392924154,0.8896248023338492,0.9407153446147052,24
MEO1,stack_harmonic+harmonic,0.922680454271967,0.5580220765479112,0.0,0.14947479131053487,0.5207356535069971,0.9179088071435105,0.9625809728888755,24
MEO1,kalman_llt,0.8972137281697488,0.44217238835412026,0.0,5.244943516739461,0.3528680654273385,0.8776551850322024,0.9762210422776956,24
MEO1,median,0.883986510016108,0.3618961562163743,0.0,0.2032989820416667,0.23062942877984294,0.8755032846426823,0.9364189999635453,24
MEO1,mean,0.8839865100161078,0.361896156216374,0.0,0.2356994894927536,0.23062942877984294,0.8755032846426821,0.9364189999635449,24
MEO1,persistence,0.8839865100161078,0.3618961562163748,0.0,0.35445716599999993,0.23062942877984294,0.8755032846426823,0.936418999963545,24
MEO1,zero,0.8839865100161077,0.3618961562163735,0.0,0.3241340771666667,0.23062942877984294,0.8755032846426821,0.9364189999635447,24
MEO1,gp_matern_periodic,0.8812700153769717,0.35786128396490413,0.0,0.2679630954260962,0.22276767965243477,0.8712415978552089,0.9359665216279133,24
MEO1,harmonic_robust_p2h3,0.8808347085597155,0.3796222707202799,0.25,0.3639437404925972,0.48506108350514826,0.7316866123657411,0.9761760110906317,24
MEO1,mlp,0.8565519850583843,0.25919302313278225,0.25,0.18453025734283024,0.7730593799023631,0.8882268064361191,0.8936993968159642,24
MEO2,mlp,0.9315293533719288,0.36745819791901496,0.25,0.12777076393231468,0.24289988267229579,0.8986939478123802,0.9538651317758242,72
MEO2,kalman_llt,0.9028883795685265,0.17132430377398272,0.25,3.5309063375742777,0.31866057430390227,0.8813948889711544,0.9736821139259789,72
MEO2,stack_harmonic+harmonic,0.8715678834056941,0.35896435523885417,0.5,0.05944205954900871,0.17932953136410923,0.8746882222264124,0.9371231241920933,72
MEO2,harmonic_robust_p2h3,0.8462860952807868,0.0823983213418483,0.75,0.10406875150600572,0.16592672572876296,0.8588333342822684,0.9186711890281531,72
MEO2,harmonic_robust_p2h2,0.8456444885495186,0.13638289571607082,0.75,0.10352489904524512,0.15875725761671391,0.8389863070636522,0.919617365785629,72
MEO2,stack_harmonic+gp,0.8422892281550393,0.11340638995169235,0.75,0.09471735786393436,0.16066335051320707,0.8425509682011766,0.9118171900058838,72
MEO2,harmonic_robust_p1h1,0.8361774678851033,0.12745168072239435,0.75,0.0622137862159384,0.15762551673836286,0.8166121251675692,0.917763034782756,72
MEO2,gbr_huber,0.8195697732829634,0.018275395182433624,1.0,0.03556058931489668,0.1683830405868854,0.8362567301269038,0.9203532155212427,72
MEO2,harmonic_ols_p1h1,0.8144974243779243,0.010121301095498775,1.0,0.06382370324899245,0.1598274660849319,0.8220576457053378,0.8784765655394624,72
MEO2,median,0.7898429397557449,0.006501753139025203,1.0,0.04995306095833333,0.14033590536383647,0.7740476005079288,0.875650671920602,72
MEO2,persistence,0.7898429397557449,0.006501753139025203,1.0,0.08686061045833335,0.14033590536383647,0.7740476005079288,0.8756506719206023,72
MEO2,zero,0.7898429397557448,0.006501753139025194,1.0,0.07775534173611112,0.14033590536383647,0.7740476005079286,0.8756506719206024,72
MEO2,mean,0.7898429397557448,0.006501753139025168,1.0,0.04561852921532635,0.14033590536383647,0.7740476005079286,0.875650671920602,72
MEO2,per_channel_best,0.788467680548329,0.0029085452048962287,1.0,0.043640367591391026,0.1350803942051572,0.842003238280817,0.8708620415817814,72
MEO2,gp_matern_periodic,0.7765539901867802,0.0022726747501825104,1.0,0.03789678104853441,0.13797191187623162,0.8019562156345531,0.8631347746785445,72
